Uur,Totaal [kWh],Normaal[kWh],Laag [kWh],P max [kW],p contract [kW]
16-11-2018 10:15 tot 10:30,9.41,9.41,0,,
16-11-2018 10:30 tot 10:45,11.16,11.16,0,,
16-11-2018 10:45 tot 11:00,9.99,9.99,0,,
16-11-2018 11:00 tot 11:15,11.12,11.12,0,50,684
16-11-2018 11:15 tot 11:30,12.56,12.56,0,,
16-11-2018 11:30 tot 11:45,12.51,12.51,0,,
16-11-2018 11:45 tot 12:00,10.31,10.31,0,,
16-11-2018 12:00 tot 12:15,9,9,0,36,684
16-11-2018 12:15 tot 12:30,8.6,8.6,0,,
16-11-2018 12:30 tot 12:45,8.69,8.69,0,,
16-11-2018 12:45 tot 13:00,8.82,8.82,0,,
16-11-2018 13:00 tot 13:15,8.19,8.19,0,41,684
16-11-2018 13:15 tot 13:30,9.36,9.36,0,,
16-11-2018 13:30 tot 13:45,10.13,10.13,0,,
16-11-2018 13:45 tot 14:00,8.28,8.28,0,,
16-11-2018 14:00 tot 14:15,7.43,7.43,0,30,684
16-11-2018 14:15 tot 14:30,6.71,6.71,0,,
16-11-2018 14:30 tot 14:45,6.53,6.53,0,,
16-11-2018 14:45 tot 15:00,5.49,5.49,0,,
16-11-2018 15:00 tot 15:15,4.1,4.1,0,16,684
16-11-2018 15:15 tot 15:30,3.38,3.38,0,,
16-11-2018 15:30 tot 15:45,2.48,2.48,0,,
16-11-2018 15:45 tot 16:00,2.34,2.34,0,,
16-11-2018 16:00 tot 16:15,1.58,1.58,0,6,684
16-11-2018 16:15 tot 16:30,0.77,0.77,0,,
16-11-2018 16:30 tot 16:45,0.54,0.54,0,,
16-11-2018 16:45 tot 17:00,0,0,0,,
16-11-2018 17:00 tot 17:15,0,0,0,0,684
16-11-2018 17:15 tot 17:30,0,0,0,,
16-11-2018 17:30 tot 17:45,0,0,0,,
16-11-2018 17:45 tot 18:00,0,0,0,,
16-11-2018 18:00 tot 18:15,0,0,0,0,684
16-11-2018 18:15 tot 18:30,0,0,0,,
16-11-2018 18:30 tot 18:45,0,0,0,,
16-11-2018 18:45 tot 19:00,0,0,0,,
16-11-2018 19:00 tot 19:15,0,0,0,0,684
16-11-2018 19:15 tot 19:30,0,0,0,,
16-11-2018 19:30 tot 19:45,0,0,0,,
16-11-2018 19:45 tot 20:00,0,0,0,,
16-11-2018 20:00 tot 20:15,0,0,0,0,684
16-11-2018 20:15 tot 20:30,0,0,0,,
16-11-2018 20:30 tot 20:45,0,0,0,,
16-11-2018 20:45 tot 21:00,0,0,0,,
16-11-2018 21:00 tot 21:15,0,0,0,0,684
16-11-2018 21:15 tot 21:30,0,0,0,,
16-11-2018 21:30 tot 21:45,0,0,0,,
16-11-2018 21:45 tot 22:00,0,0,0,,
16-11-2018 22:00 tot 22:15,0,0,0,0,684
16-11-2018 22:15 tot 22:30,0,0,0,,
16-11-2018 22:30 tot 22:45,0,0,0,,
16-11-2018 22:45 tot 23:00,0,0,0,,
16-11-2018 23:00 tot 23:15,0,0,0,0,684
16-11-2018 23:15 tot 23:30,0,0,0,,
16-11-2018 23:30 tot 23:45,0,0,0,,
16-11-2018 23:45 tot 00:00,0,0,0,,
17-11-2018 00:00 tot 00:15,0,0,0,0,684
17-11-2018 00:15 tot 00:30,0,0,0,,
17-11-2018 00:30 tot 00:45,0,0,0,,
17-11-2018 00:45 tot 01:00,0,0,0,,
17-11-2018 01:00 tot 01:15,0,0,0,0,684
17-11-2018 01:15 tot 01:30,0,0,0,,
17-11-2018 01:30 tot 01:45,0,0,0,,
17-11-2018 01:45 tot 02:00,0,0,0,,
17-11-2018 02:00 tot 02:15,0,0,0,0,684
17-11-2018 02:15 tot 02:30,0,0,0,,
17-11-2018 02:30 tot 02:45,0,0,0,,
17-11-2018 02:45 tot 03:00,0,0,0,,
17-11-2018 03:00 tot 03:15,0,0,0,0,684
17-11-2018 03:15 tot 03:30,0,0,0,,
17-11-2018 03:30 tot 03:45,0,0,0,,
17-11-2018 03:45 tot 04:00,0,0,0,,
17-11-2018 04:00 tot 04:15,0,0,0,0,684
17-11-2018 04:15 tot 04:30,0,0,0,,
17-11-2018 04:30 tot 04:45,0,0,0,,
17-11-2018 04:45 tot 05:00,0,0,0,,
17-11-2018 05:00 tot 05:15,0,0,0,0,684
17-11-2018 05:15 tot 05:30,0,0,0,,
17-11-2018 05:30 tot 05:45,0,0,0,,
17-11-2018 05:45 tot 06:00,0,0,0,,
17-11-2018 06:00 tot 06:15,0,0,0,0,684
17-11-2018 06:15 tot 06:30,0,0,0,,
17-11-2018 06:30 tot 06:45,0,0,0,,
17-11-2018 06:45 tot 07:00,0,0,0,,
17-11-2018 07:00 tot 07:15,0,0,0,0,684
17-11-2018 07:15 tot 07:30,0,0,0,,
17-11-2018 07:30 tot 07:45,0,0,0,,
17-11-2018 07:45 tot 08:00,0,0,0,,
17-11-2018 08:00 tot 08:15,0.09,0,0.09,19,684
17-11-2018 08:15 tot 08:30,1.08,0,1.08,,
17-11-2018 08:30 tot 08:45,2.34,0,2.34,,
17-11-2018 08:45 tot 09:00,4.68,0,4.68,,
17-11-2018 09:00 tot 09:15,7.29,0,7.29,69,684
17-11-2018 09:15 tot 09:30,10.71,0,10.71,,
17-11-2018 09:30 tot 09:45,14.18,0,14.18,,
17-11-2018 09:45 tot 10:00,17.24,0,17.24,,
17-11-2018 10:00 tot 10:15,20.3,0,20.3,115,684
17-11-2018 10:15 tot 10:30,23.27,0,23.27,,
17-11-2018 10:30 tot 10:45,26.24,0,26.24,,
17-11-2018 10:45 tot 11:00,28.71,0,28.71,,
17-11-2018 11:00 tot 11:15,30.51,0,30.51,139,684
17-11-2018 11:15 tot 11:30,32.31,0,32.31,,
17-11-2018 11:30 tot 11:45,33.89,0,33.89,,
17-11-2018 11:45 tot 12:00,34.83,0,34.83,,
17-11-2018 12:00 tot 12:15,35.64,0,35.64,145,684
17-11-2018 12:15 tot 12:30,36.27,0,36.27,,
17-11-2018 12:30 tot 12:45,36.23,0,36.23,,
17-11-2018 12:45 tot 13:00,35.69,0,35.69,,
17-11-2018 13:00 tot 13:15,35.01,0,35.01,140,684
17-11-2018 13:15 tot 13:30,33.89,0,33.89,,
17-11-2018 13:30 tot 13:45,32.18,0,32.18,,
17-11-2018 13:45 tot 14:00,29.88,0,29.88,,
17-11-2018 14:00 tot 14:15,27.59,0,27.59,110,684
17-11-2018 14:15 tot 14:30,25.11,0,25.11,,
17-11-2018 14:30 tot 14:45,22.46,0,22.46,,
17-11-2018 14:45 tot 15:00,19.67,0,19.67,,
17-11-2018 15:00 tot 15:15,16.92,0,16.92,68,684
17-11-2018 15:15 tot 15:30,13.55,0,13.55,,
17-11-2018 15:30 tot 15:45,9.86,0,9.86,,
17-11-2018 15:45 tot 16:00,6.66,0,6.66,,
17-11-2018 16:00 tot 16:15,3.83,0,3.83,15,684
17-11-2018 16:15 tot 16:30,1.76,0,1.76,,
17-11-2018 16:30 tot 16:45,0.63,0,0.63,,
17-11-2018 16:45 tot 17:00,0,0,0,,
17-11-2018 17:00 tot 17:15,0,0,0,0,684
17-11-2018 17:15 tot 17:30,0,0,0,,
17-11-2018 17:30 tot 17:45,0,0,0,,
17-11-2018 17:45 tot 18:00,0,0,0,,
17-11-2018 18:00 tot 18:15,0,0,0,0,684
17-11-2018 18:15 tot 18:30,0,0,0,,
17-11-2018 18:30 tot 18:45,0,0,0,,
17-11-2018 18:45 tot 19:00,0,0,0,,
17-11-2018 19:00 tot 19:15,0,0,0,0,684
17-11-2018 19:15 tot 19:30,0,0,0,,
17-11-2018 19:30 tot 19:45,0,0,0,,
17-11-2018 19:45 tot 20:00,0,0,0,,
17-11-2018 20:00 tot 20:15,0,0,0,0,684
17-11-2018 20:15 tot 20:30,0,0,0,,
17-11-2018 20:30 tot 20:45,0,0,0,,
17-11-2018 20:45 tot 21:00,0,0,0,,
17-11-2018 21:00 tot 21:15,0,0,0,0,684
17-11-2018 21:15 tot 21:30,0,0,0,,
17-11-2018 21:30 tot 21:45,0,0,0,,
17-11-2018 21:45 tot 22:00,0,0,0,,
17-11-2018 22:00 tot 22:15,0,0,0,0,684
17-11-2018 22:15 tot 22:30,0,0,0,,
17-11-2018 22:30 tot 22:45,0,0,0,,
17-11-2018 22:45 tot 23:00,0,0,0,,
17-11-2018 23:00 tot 23:15,0,0,0,0,684
17-11-2018 23:15 tot 23:30,0,0,0,,
17-11-2018 23:30 tot 23:45,0,0,0,,
17-11-2018 23:45 tot 00:00,0,0,0,,
18-11-2018 00:00 tot 00:15,0,0,0,0,684
18-11-2018 00:15 tot 00:30,0,0,0,,
18-11-2018 00:30 tot 00:45,0,0,0,,
18-11-2018 00:45 tot 01:00,0,0,0,,
18-11-2018 01:00 tot 01:15,0,0,0,0,684
18-11-2018 01:15 tot 01:30,0,0,0,,
18-11-2018 01:30 tot 01:45,0,0,0,,
18-11-2018 01:45 tot 02:00,0,0,0,,
18-11-2018 02:00 tot 02:15,0,0,0,0,684
18-11-2018 02:15 tot 02:30,0,0,0,,
18-11-2018 02:30 tot 02:45,0,0,0,,
18-11-2018 02:45 tot 03:00,0,0,0,,
18-11-2018 03:00 tot 03:15,0,0,0,0,684
18-11-2018 03:15 tot 03:30,0,0,0,,
18-11-2018 03:30 tot 03:45,0,0,0,,
18-11-2018 03:45 tot 04:00,0,0,0,,
18-11-2018 04:00 tot 04:15,0,0,0,0,684
18-11-2018 04:15 tot 04:30,0,0,0,,
18-11-2018 04:30 tot 04:45,0,0,0,,
18-11-2018 04:45 tot 05:00,0,0,0,,
18-11-2018 05:00 tot 05:15,0,0,0,0,684
18-11-2018 05:15 tot 05:30,0,0,0,,
18-11-2018 05:30 tot 05:45,0,0,0,,
18-11-2018 05:45 tot 06:00,0,0,0,,
18-11-2018 06:00 tot 06:15,0,0,0,0,684
18-11-2018 06:15 tot 06:30,0,0,0,,
18-11-2018 06:30 tot 06:45,0,0,0,,
18-11-2018 06:45 tot 07:00,0,0,0,,
18-11-2018 07:00 tot 07:15,0,0,0,0,684
18-11-2018 07:15 tot 07:30,0,0,0,,
18-11-2018 07:30 tot 07:45,0,0,0,,
18-11-2018 07:45 tot 08:00,0,0,0,,
18-11-2018 08:00 tot 08:15,0.05,0,0.05,20,684
18-11-2018 08:15 tot 08:30,1.04,0,1.04,,
18-11-2018 08:30 tot 08:45,2.39,0,2.39,,
18-11-2018 08:45 tot 09:00,5.09,0,5.09,,
18-11-2018 09:00 tot 09:15,7.97,0,7.97,70,684
18-11-2018 09:15 tot 09:30,11.07,0,11.07,,
18-11-2018 09:30 tot 09:45,14.4,0,14.4,,
18-11-2018 09:45 tot 10:00,17.55,0,17.55,,
18-11-2018 10:00 tot 10:15,20.84,0,20.84,115,684
18-11-2018 10:15 tot 10:30,23.81,0,23.81,,
18-11-2018 10:30 tot 10:45,26.42,0,26.42,,
18-11-2018 10:45 tot 11:00,28.71,0,28.71,,
18-11-2018 11:00 tot 11:15,31.05,0,31.05,143,684
18-11-2018 11:15 tot 11:30,32.31,0,32.31,,
18-11-2018 11:30 tot 11:45,31.37,0,31.37,,
18-11-2018 11:45 tot 12:00,35.82,0,35.82,,
18-11-2018 12:00 tot 12:15,35.96,0,35.96,153,684
18-11-2018 12:15 tot 12:30,30.15,0,30.15,,
18-11-2018 12:30 tot 12:45,36.63,0,36.63,,
18-11-2018 12:45 tot 13:00,38.25,0,38.25,,
18-11-2018 13:00 tot 13:15,32.4,0,32.4,130,684
18-11-2018 13:15 tot 13:30,17.1,0,17.1,,
18-11-2018 13:30 tot 13:45,18.18,0,18.18,,
18-11-2018 13:45 tot 14:00,25.56,0,25.56,,
18-11-2018 14:00 tot 14:15,27.95,0,27.95,123,684
18-11-2018 14:15 tot 14:30,30.65,0,30.65,,
18-11-2018 14:30 tot 14:45,16.34,0,16.34,,
18-11-2018 14:45 tot 15:00,11.43,0,11.43,,
18-11-2018 15:00 tot 15:15,9,0,9,36,684
18-11-2018 15:15 tot 15:30,5.9,0,5.9,,
18-11-2018 15:30 tot 15:45,3.02,0,3.02,,
18-11-2018 15:45 tot 16:00,2.88,0,2.88,,
18-11-2018 16:00 tot 16:15,3.06,0,3.06,12,684
18-11-2018 16:15 tot 16:30,2.39,0,2.39,,
18-11-2018 16:30 tot 16:45,0.72,0,0.72,,
18-11-2018 16:45 tot 17:00,0,0,0,,
18-11-2018 17:00 tot 17:15,0,0,0,0,684
18-11-2018 17:15 tot 17:30,0,0,0,,
18-11-2018 17:30 tot 17:45,0,0,0,,
18-11-2018 17:45 tot 18:00,0,0,0,,
18-11-2018 18:00 tot 18:15,0,0,0,0,684
18-11-2018 18:15 tot 18:30,0,0,0,,
18-11-2018 18:30 tot 18:45,0,0,0,,
18-11-2018 18:45 tot 19:00,0,0,0,,
18-11-2018 19:00 tot 19:15,0,0,0,0,684
18-11-2018 19:15 tot 19:30,0,0,0,,
18-11-2018 19:30 tot 19:45,0,0,0,,
18-11-2018 19:45 tot 20:00,0,0,0,,
18-11-2018 20:00 tot 20:15,0,0,0,0,684
18-11-2018 20:15 tot 20:30,0,0,0,,
18-11-2018 20:30 tot 20:45,0,0,0,,
18-11-2018 20:45 tot 21:00,0,0,0,,
18-11-2018 21:00 tot 21:15,0,0,0,0,684
18-11-2018 21:15 tot 21:30,0,0,0,,
18-11-2018 21:30 tot 21:45,0,0,0,,
18-11-2018 21:45 tot 22:00,0,0,0,,
18-11-2018 22:00 tot 22:15,0,0,0,0,684
18-11-2018 22:15 tot 22:30,0,0,0,,
18-11-2018 22:30 tot 22:45,0,0,0,,
18-11-2018 22:45 tot 23:00,0,0,0,,
18-11-2018 23:00 tot 23:15,0,0,0,0,684
18-11-2018 23:15 tot 23:30,0,0,0,,
18-11-2018 23:30 tot 23:45,0,0,0,,
18-11-2018 23:45 tot 00:00,0,0,0,,
19-11-2018 00:00 tot 00:15,0,0,0,0,684
19-11-2018 00:15 tot 00:30,0,0,0,,
19-11-2018 00:30 tot 00:45,0,0,0,,
19-11-2018 00:45 tot 01:00,0,0,0,,
19-11-2018 01:00 tot 01:15,0,0,0,0,684
19-11-2018 01:15 tot 01:30,0,0,0,,
19-11-2018 01:30 tot 01:45,0,0,0,,
19-11-2018 01:45 tot 02:00,0,0,0,,
19-11-2018 02:00 tot 02:15,0,0,0,0,684
19-11-2018 02:15 tot 02:30,0,0,0,,
19-11-2018 02:30 tot 02:45,0,0,0,,
19-11-2018 02:45 tot 03:00,0,0,0,,
19-11-2018 03:00 tot 03:15,0,0,0,0,684
19-11-2018 03:15 tot 03:30,0,0,0,,
19-11-2018 03:30 tot 03:45,0,0,0,,
19-11-2018 03:45 tot 04:00,0,0,0,,
19-11-2018 04:00 tot 04:15,0,0,0,0,684
19-11-2018 04:15 tot 04:30,0,0,0,,
19-11-2018 04:30 tot 04:45,0,0,0,,
19-11-2018 04:45 tot 05:00,0,0,0,,
19-11-2018 05:00 tot 05:15,0,0,0,0,684
19-11-2018 05:15 tot 05:30,0,0,0,,
19-11-2018 05:30 tot 05:45,0,0,0,,
19-11-2018 05:45 tot 06:00,0,0,0,,
19-11-2018 06:00 tot 06:15,0,0,0,0,684
19-11-2018 06:15 tot 06:30,0,0,0,,
19-11-2018 06:30 tot 06:45,0,0,0,,
19-11-2018 06:45 tot 07:00,0,0,0,,
19-11-2018 07:00 tot 07:15,0,0,0,0,684
19-11-2018 07:15 tot 07:30,0,0,0,,
19-11-2018 07:30 tot 07:45,0,0,0,,
19-11-2018 07:45 tot 08:00,0,0,0,,
19-11-2018 08:00 tot 08:15,0,0,0,9,684
19-11-2018 08:15 tot 08:30,0.14,0.14,0,,
19-11-2018 08:30 tot 08:45,1.04,1.04,0,,
19-11-2018 08:45 tot 09:00,2.25,2.25,0,,
19-11-2018 09:00 tot 09:15,2.07,2.07,0,32,684
19-11-2018 09:15 tot 09:30,4.41,4.41,0,,
19-11-2018 09:30 tot 09:45,4.5,4.5,0,,
19-11-2018 09:45 tot 10:00,7.92,7.92,0,,
19-11-2018 10:00 tot 10:15,9.36,9.36,0,47,684
19-11-2018 10:15 tot 10:30,10.85,10.85,0,,
19-11-2018 10:30 tot 10:45,9.23,9.23,0,,
19-11-2018 10:45 tot 11:00,11.66,11.66,0,,
19-11-2018 11:00 tot 11:15,11.43,11.43,0,113,684
19-11-2018 11:15 tot 11:30,8.73,8.73,0,,
19-11-2018 11:30 tot 11:45,15.26,15.26,0,,
19-11-2018 11:45 tot 12:00,28.31,28.31,0,,
19-11-2018 12:00 tot 12:15,25.92,25.92,0,104,684
19-11-2018 12:15 tot 12:30,22.95,22.95,0,,
19-11-2018 12:30 tot 12:45,22.68,22.68,0,,
19-11-2018 12:45 tot 13:00,24.44,24.44,0,,
19-11-2018 13:00 tot 13:15,15.03,15.03,0,101,684
19-11-2018 13:15 tot 13:30,25.16,25.16,0,,
19-11-2018 13:30 tot 13:45,16.2,16.2,0,,
19-11-2018 13:45 tot 14:00,10.98,10.98,0,,
19-11-2018 14:00 tot 14:15,6.21,6.21,0,25,684
19-11-2018 14:15 tot 14:30,4.32,4.32,0,,
19-11-2018 14:30 tot 14:45,4.41,4.41,0,,
19-11-2018 14:45 tot 15:00,4.32,4.32,0,,
19-11-2018 15:00 tot 15:15,2.07,2.07,0,14,684
19-11-2018 15:15 tot 15:30,3.47,3.47,0,,
19-11-2018 15:30 tot 15:45,1.58,1.58,0,,
19-11-2018 15:45 tot 16:00,1.94,1.94,0,,
19-11-2018 16:00 tot 16:15,1.58,1.58,0,6,684
19-11-2018 16:15 tot 16:30,1.04,1.04,0,,
19-11-2018 16:30 tot 16:45,0.09,0.09,0,,
19-11-2018 16:45 tot 17:00,0,0,0,,
19-11-2018 17:00 tot 17:15,0,0,0,0,684
19-11-2018 17:15 tot 17:30,0,0,0,,
19-11-2018 17:30 tot 17:45,0,0,0,,
19-11-2018 17:45 tot 18:00,0,0,0,,
19-11-2018 18:00 tot 18:15,0,0,0,0,684
19-11-2018 18:15 tot 18:30,0,0,0,,
19-11-2018 18:30 tot 18:45,0,0,0,,
19-11-2018 18:45 tot 19:00,0,0,0,,
19-11-2018 19:00 tot 19:15,0,0,0,0,684
19-11-2018 19:15 tot 19:30,0,0,0,,
19-11-2018 19:30 tot 19:45,0,0,0,,
19-11-2018 19:45 tot 20:00,0,0,0,,
19-11-2018 20:00 tot 20:15,0,0,0,0,684
19-11-2018 20:15 tot 20:30,0,0,0,,
19-11-2018 20:30 tot 20:45,0,0,0,,
19-11-2018 20:45 tot 21:00,0,0,0,,
19-11-2018 21:00 tot 21:15,0,0,0,0,684
19-11-2018 21:15 tot 21:30,0,0,0,,
19-11-2018 21:30 tot 21:45,0,0,0,,
19-11-2018 21:45 tot 22:00,0,0,0,,
19-11-2018 22:00 tot 22:15,0,0,0,0,684
19-11-2018 22:15 tot 22:30,0,0,0,,
19-11-2018 22:30 tot 22:45,0,0,0,,
19-11-2018 22:45 tot 23:00,0,0,0,,
19-11-2018 23:00 tot 23:15,0,0,0,0,684
19-11-2018 23:15 tot 23:30,0,0,0,,
19-11-2018 23:30 tot 23:45,0,0,0,,
19-11-2018 23:45 tot 00:00,0,0,0,,
20-11-2018 00:00 tot 00:15,0,0,0,0,684
20-11-2018 00:15 tot 00:30,0,0,0,,
20-11-2018 00:30 tot 00:45,0,0,0,,
20-11-2018 00:45 tot 01:00,0,0,0,,
20-11-2018 01:00 tot 01:15,0,0,0,0,684
20-11-2018 01:15 tot 01:30,0,0,0,,
20-11-2018 01:30 tot 01:45,0,0,0,,
20-11-2018 01:45 tot 02:00,0,0,0,,
20-11-2018 02:00 tot 02:15,0,0,0,0,684
20-11-2018 02:15 tot 02:30,0,0,0,,
20-11-2018 02:30 tot 02:45,0,0,0,,
20-11-2018 02:45 tot 03:00,0,0,0,,
20-11-2018 03:00 tot 03:15,0,0,0,0,684
20-11-2018 03:15 tot 03:30,0,0,0,,
20-11-2018 03:30 tot 03:45,0,0,0,,
20-11-2018 03:45 tot 04:00,0,0,0,,
20-11-2018 04:00 tot 04:15,0,0,0,0,684
20-11-2018 04:15 tot 04:30,0,0,0,,
20-11-2018 04:30 tot 04:45,0,0,0,,
20-11-2018 04:45 tot 05:00,0,0,0,,
20-11-2018 05:00 tot 05:15,0,0,0,0,684
20-11-2018 05:15 tot 05:30,0,0,0,,
20-11-2018 05:30 tot 05:45,0,0,0,,
20-11-2018 05:45 tot 06:00,0,0,0,,
20-11-2018 06:00 tot 06:15,0,0,0,0,684
20-11-2018 06:15 tot 06:30,0,0,0,,
20-11-2018 06:30 tot 06:45,0,0,0,,
20-11-2018 06:45 tot 07:00,0,0,0,,
20-11-2018 07:00 tot 07:15,0,0,0,0,684
20-11-2018 07:15 tot 07:30,0,0,0,,
20-11-2018 07:30 tot 07:45,0,0,0,,
20-11-2018 07:45 tot 08:00,0,0,0,,
20-11-2018 08:00 tot 08:15,0,0,0,0,684
20-11-2018 08:15 tot 08:30,0,0,0,,
20-11-2018 08:30 tot 08:45,0,0,0,,
20-11-2018 08:45 tot 09:00,0,0,0,,
20-11-2018 09:00 tot 09:15,0,0,0,3,684
20-11-2018 09:15 tot 09:30,0.14,0.14,0,,
20-11-2018 09:30 tot 09:45,0.27,0.27,0,,
20-11-2018 09:45 tot 10:00,0.81,0.81,0,,
20-11-2018 10:00 tot 10:15,1.26,1.26,0,28,684
20-11-2018 10:15 tot 10:30,3.06,3.06,0,,
20-11-2018 10:30 tot 10:45,6.08,6.08,0,,
20-11-2018 10:45 tot 11:00,7.11,7.11,0,,
20-11-2018 11:00 tot 11:15,5.45,5.45,0,22,684
20-11-2018 11:15 tot 11:30,3.92,3.92,0,,
20-11-2018 11:30 tot 11:45,3.06,3.06,0,,
20-11-2018 11:45 tot 12:00,3.6,3.6,0,,
20-11-2018 12:00 tot 12:15,11.21,11.21,0,52,684
20-11-2018 12:15 tot 12:30,12.92,12.92,0,,
20-11-2018 12:30 tot 12:45,8.06,8.06,0,,
20-11-2018 12:45 tot 13:00,8.73,8.73,0,,
20-11-2018 13:00 tot 13:15,8.46,8.46,0,40,684
20-11-2018 13:15 tot 13:30,8.73,8.73,0,,
20-11-2018 13:30 tot 13:45,9.95,9.95,0,,
20-11-2018 13:45 tot 14:00,9.14,9.14,0,,
20-11-2018 14:00 tot 14:15,10.26,10.26,0,49,684
20-11-2018 14:15 tot 14:30,12.29,12.29,0,,
20-11-2018 14:30 tot 14:45,10.62,10.62,0,,
20-11-2018 14:45 tot 15:00,9.32,9.32,0,,
20-11-2018 15:00 tot 15:15,6.03,6.03,0,24,684
20-11-2018 15:15 tot 15:30,2.12,2.12,0,,
20-11-2018 15:30 tot 15:45,1.31,1.31,0,,
20-11-2018 15:45 tot 16:00,0.63,0.63,0,,
20-11-2018 16:00 tot 16:15,0.41,0.41,0,2,684
20-11-2018 16:15 tot 16:30,0,0,0,,
20-11-2018 16:30 tot 16:45,0,0,0,,
20-11-2018 16:45 tot 17:00,0,0,0,,
20-11-2018 17:00 tot 17:15,0,0,0,0,684
20-11-2018 17:15 tot 17:30,0,0,0,,
20-11-2018 17:30 tot 17:45,0,0,0,,
20-11-2018 17:45 tot 18:00,0,0,0,,
20-11-2018 18:00 tot 18:15,0,0,0,0,684
20-11-2018 18:15 tot 18:30,0,0,0,,
20-11-2018 18:30 tot 18:45,0,0,0,,
20-11-2018 18:45 tot 19:00,0,0,0,,
20-11-2018 19:00 tot 19:15,0,0,0,0,684
20-11-2018 19:15 tot 19:30,0,0,0,,
20-11-2018 19:30 tot 19:45,0,0,0,,
20-11-2018 19:45 tot 20:00,0,0,0,,
20-11-2018 20:00 tot 20:15,0,0,0,0,684
20-11-2018 20:15 tot 20:30,0,0,0,,
20-11-2018 20:30 tot 20:45,0,0,0,,
20-11-2018 20:45 tot 21:00,0,0,0,,
20-11-2018 21:00 tot 21:15,0,0,0,0,684
20-11-2018 21:15 tot 21:30,0,0,0,,
20-11-2018 21:30 tot 21:45,0,0,0,,
20-11-2018 21:45 tot 22:00,0,0,0,,
20-11-2018 22:00 tot 22:15,0,0,0,0,684
20-11-2018 22:15 tot 22:30,0,0,0,,
20-11-2018 22:30 tot 22:45,0,0,0,,
20-11-2018 22:45 tot 23:00,0,0,0,,
20-11-2018 23:00 tot 23:15,0,0,0,0,684
20-11-2018 23:15 tot 23:30,0,0,0,,
20-11-2018 23:30 tot 23:45,0,0,0,,
20-11-2018 23:45 tot 00:00,0,0,0,,
21-11-2018 00:00 tot 00:15,0,0,0,0,684
21-11-2018 00:15 tot 00:30,0,0,0,,
21-11-2018 00:30 tot 00:45,0,0,0,,
21-11-2018 00:45 tot 01:00,0,0,0,,
21-11-2018 01:00 tot 01:15,0,0,0,0,684
21-11-2018 01:15 tot 01:30,0,0,0,,
21-11-2018 01:30 tot 01:45,0,0,0,,
21-11-2018 01:45 tot 02:00,0,0,0,,
21-11-2018 02:00 tot 02:15,0,0,0,0,684
21-11-2018 02:15 tot 02:30,0,0,0,,
21-11-2018 02:30 tot 02:45,0,0,0,,
21-11-2018 02:45 tot 03:00,0,0,0,,
21-11-2018 03:00 tot 03:15,0,0,0,0,684
21-11-2018 03:15 tot 03:30,0,0,0,,
21-11-2018 03:30 tot 03:45,0,0,0,,
21-11-2018 03:45 tot 04:00,0,0,0,,
21-11-2018 04:00 tot 04:15,0,0,0,0,684
21-11-2018 04:15 tot 04:30,0,0,0,,
21-11-2018 04:30 tot 04:45,0,0,0,,
21-11-2018 04:45 tot 05:00,0,0,0,,
21-11-2018 05:00 tot 05:15,0,0,0,0,684
21-11-2018 05:15 tot 05:30,0,0,0,,
21-11-2018 05:30 tot 05:45,0,0,0,,
21-11-2018 05:45 tot 06:00,0,0,0,,
21-11-2018 06:00 tot 06:15,0,0,0,0,684
21-11-2018 06:15 tot 06:30,0,0,0,,
21-11-2018 06:30 tot 06:45,0,0,0,,
21-11-2018 06:45 tot 07:00,0,0,0,,
21-11-2018 07:00 tot 07:15,0,0,0,0,684
21-11-2018 07:15 tot 07:30,0,0,0,,
21-11-2018 07:30 tot 07:45,0,0,0,,
21-11-2018 07:45 tot 08:00,0,0,0,,
21-11-2018 08:00 tot 08:15,0,0,0,6,684
21-11-2018 08:15 tot 08:30,0,0,0,,
21-11-2018 08:30 tot 08:45,0.68,0.68,0,,
21-11-2018 08:45 tot 09:00,1.49,1.49,0,,
21-11-2018 09:00 tot 09:15,2.57,2.57,0,31,684
21-11-2018 09:15 tot 09:30,5.04,5.04,0,,
21-11-2018 09:30 tot 09:45,7.74,7.74,0,,
21-11-2018 09:45 tot 10:00,7.7,7.7,0,,
21-11-2018 10:00 tot 10:15,8.42,8.42,0,58,684
21-11-2018 10:15 tot 10:30,11.61,11.61,0,,
21-11-2018 10:30 tot 10:45,12.42,12.42,0,,
21-11-2018 10:45 tot 11:00,14.54,14.54,0,,
21-11-2018 11:00 tot 11:15,14.94,14.94,0,77,684
21-11-2018 11:15 tot 11:30,16.61,16.61,0,,
21-11-2018 11:30 tot 11:45,19.22,19.22,0,,
21-11-2018 11:45 tot 12:00,19.35,19.35,0,,
21-11-2018 12:00 tot 12:15,20.25,20.25,0,130,684
21-11-2018 12:15 tot 12:30,24.62,24.62,0,,
21-11-2018 12:30 tot 12:45,28.31,28.31,0,,
21-11-2018 12:45 tot 13:00,32.54,32.54,0,,
21-11-2018 13:00 tot 13:15,17.01,17.01,0,103,684
21-11-2018 13:15 tot 13:30,19.94,19.94,0,,
21-11-2018 13:30 tot 13:45,17.82,17.82,0,,
21-11-2018 13:45 tot 14:00,25.65,25.65,0,,
21-11-2018 14:00 tot 14:15,20.97,20.97,0,84,684
21-11-2018 14:15 tot 14:30,14.63,14.63,0,,
21-11-2018 14:30 tot 14:45,8.64,8.64,0,,
21-11-2018 14:45 tot 15:00,5.81,5.81,0,,
